column,stored_system,stored_code,stored_display,occurrences,subjects
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,4280,"Congestive heart failure, unspecified",31,13
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5849,"Acute kidney failure, unspecified",31,16
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1582,Personal history of tobacco use,31,20
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V5867,Long-term (current) use of insulin,30,12
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I4891,Unspecified atrial fibrillation,29,13
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,41401,Coronary atherosclerosis of native coronary artery,28,19
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V5861,Long-term (current) use of anticoagulants,28,14
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,F419,"Anxiety disorder, unspecified",27,13
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,40390,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",27,14
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5990,"Urinary tract infection, site not specified",26,16
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2720,Pure hypercholesterolemia,25,12
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z7901,Long term (current) use of anticoagulants,24,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z955,Presence of coronary angioplasty implant and graft,24,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2859,"Anemia, unspecified",24,19
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,3051,Tobacco use disorder,24,18
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E669,"Obesity, unspecified",22,11
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,53081,Esophageal reflux,22,15
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D649,"Anemia, unspecified",21,10
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,F17210,"Nicotine dependence, cigarettes, uncomplicated",21,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,J449,"Chronic obstructive pulmonary disease, unspecified",21,10
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,N390,"Urinary tract infection, site not specified",21,10
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,27800,"Obesity, unspecified",21,12
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,C9110,Chronic lymphocytic leukemia of B-cell type not having achieved remission,20,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D62,Acute posthemorrhagic anemia,20,15
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I129,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",20,12
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,G4733,Obstructive sleep apnea (adult) (pediatric),19,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,M109,"Gout, unspecified",19,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z7902,Long term (current) use of antithrombotics/antiplatelets,19,11
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E1122,Type 2 diabetes mellitus with diabetic chronic kidney disease,18,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2761,Hyposmolality and/or hyponatremia,18,11
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,K219,Gastro-esophageal reflux disease without esophagitis,17,13
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D696,"Thrombocytopenia, unspecified",16,11
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z66,Do not resuscitate,16,12
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5853,"Chronic kidney disease, Stage III (moderate)",16,8
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E871,Hypo-osmolality and hyponatremia,15,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I480,Paroxysmal atrial fibrillation,15,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,51881,Acute respiratory failure,15,12
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5859,"Chronic kidney disease, unspecified",15,11
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8497,Accidents occurring in residential institution,15,13
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V5866,Long-term (current) use of aspirin,15,12
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E872,Acidosis,14,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,G8929,Other chronic pain,14,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,N186,End stage renal disease,14,3
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z8673,"Prsnl hx of TIA (TIA), and cereb infrc w/o resid deficits",14,3
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z9884,Bariatric surgery status,14,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z992,Dependence on renal dialysis,14,3
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2449,Unspecified acquired hypothyroidism,14,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V08,Asymptomatic human immunodeficiency virus [HIV] infection status,14,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V4582,Percutaneous transluminal coronary angioplasty status,14,8
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,N183,"Chronic kidney disease, stage 3 (moderate)",13,10
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z950,Presence of cardiac pacemaker,13,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2762,Acidosis,13,12
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,49390,"Asthma, unspecified type, unspecified",13,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I110,Hypertensive heart disease with heart failure,12,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,N189,"Chronic kidney disease, unspecified",12,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Y92230,Patient room in hospital as the place of occurrence of the external cause,12,10
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z853,Personal history of malignant neoplasm of breast,12,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,30000,"Anxiety state, unspecified",12,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,30500,"Alcohol abuse, unspecified",12,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,486,"Pneumonia, organism unspecified",12,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78959,Other ascites,12,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V707,Examination of participant in clinical trial,12,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E1142,Type 2 diabetes mellitus with diabetic polyneuropathy,11,3
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I214,Non-ST elevation (NSTEMI) myocardial infarction,11,8
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I272,Other secondary pulmonary hypertension,11,8
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,J45909,"Unspecified asthma, uncomplicated",11,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,J9601,Acute respiratory failure with hypoxia,11,8
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,R079,"Chest pain, unspecified",11,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z86718,Personal history of other venous thrombosis and embolism,11,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,4240,Mitral valve disorders,11,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8798,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",11,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E1165,Type 2 diabetes mellitus with hyperglycemia,10,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E875,Hyperkalemia,10,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,J189,"Pneumonia, unspecified organism",10,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2749,"Gout, unspecified",10,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2767,Hyperpotassemia,10,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2875,"Thrombocytopenia, unspecified",10,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,4589,"Hypotension, unspecified",10,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8889,Unspecified fall,10,8
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V4986,Do not resuscitate status,10,10
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V8741,Personal history of antineoplastic chemotherapy,10,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,A419,"Sepsis, unspecified organism",9,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E11621,Type 2 diabetes mellitus with foot ulcer,9,3
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E43,Unspecified severe protein-calorie malnutrition,9,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E7800,"Pure hypercholesterolemia, unspecified",9,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I120,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,9,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",9,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I252,Old myocardial infarction,9,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I5032,Chronic diastolic (congestive) heart failure,9,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I959,"Hypotension, unspecified",9,8
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,R740,Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH],9,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Y929,Unspecified place or not applicable,9,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z515,Encounter for palliative care,9,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,07070,Unspecified viral hepatitis C without hepatic coma,9,3
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2760,Hyperosmolality and/or hypernatremia,9,8
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,496,"Chronic airway obstruction, not elsewhere classified",9,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78097,Altered mental status,9,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78820,"Retention of urine, unspecified",9,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,99592,Severe sepsis,9,9
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V103,Personal history of malignant neoplasm of breast,9,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D631,Anemia in chronic kidney disease,8,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E11649,Type 2 diabetes mellitus with hypoglycemia without coma,8,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E780,Pure hypercholesterolemia,8,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E860,Dehydration,8,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Y848,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",8,8
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2809,"Iron deficiency anemia, unspecified",8,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,34830,"Encephalopathy, unspecified",8,8
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,412,Old myocardial infarction,8,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5845,Acute kidney failure with lesion of tubular necrosis,8,8
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,70715,Ulcer of other part of foot,8,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78791,Diarrhea,8,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,B1920,Unspecified viral hepatitis C without hepatic coma,7,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E6601,Morbid (severe) obesity due to excess calories,7,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,F10129,"Alcohol abuse with intoxication, unspecified",7,3
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,G40909,"Epilepsy, unspecified, not intractable, without status epilepticus",7,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,G4700,"Insomnia, unspecified",7,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I340,Nonrheumatic mitral (valve) insufficiency,7,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I5023,Acute on chronic systolic (congestive) heart failure,7,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,K7031,Alcoholic cirrhosis of liver with ascites,7,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,K766,Portal hypertension,7,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,R0902,Hypoxemia,7,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,R6521,Severe sepsis with septic shock,7,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Y92239,Unspecified place in hospital as the place of occurrence of the external cause,7,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z781,Physical restraint status,7,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z8249,Family history of ischemic heart disease and other diseases of the circulatory system,7,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z8547,Personal history of malignant neoplasm of testis,7,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,00845,Intestinal infection due to Clostridium difficile,7,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,04149,Other and unspecified Escherichia coli [E. coli],7,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,20300,"Multiple myeloma, without mention of having achieved remission",7,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2768,Hypopotassemia,7,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,28860,"Leukocytosis, unspecified",7,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,33829,Other chronic pain,7,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5119,Unspecified pleural effusion,7,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5180,Pulmonary collapse,7,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5715,Cirrhosis of liver without mention of alcohol,7,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,79092,Abnormal coagulation profile,7,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8490,Home accidents,7,7
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1046,Personal history of malignant neoplasm of prostate,7,3
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1581,"Personal history of noncompliance with medical treatment, presenting hazards to health",7,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,B20,Human immunodeficiency virus [HIV] disease,6,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D509,"Iron deficiency anemia, unspecified",6,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D689,"Coagulation defect, unspecified",6,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D6959,Other secondary thrombocytopenia,6,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,F259,"Schizoaffective disorder, unspecified",6,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I5033,Acute on chronic diastolic (congestive) heart failure,6,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I509,"Heart failure, unspecified",6,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I8510,Secondary esophageal varices without bleeding,6,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,J90,"Pleural effusion, not elsewhere classified",6,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,J95851,Ventilator associated pneumonia,6,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,J9811,Atelectasis,6,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,K7581,Nonalcoholic steatohepatitis (NASH),6,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,N170,Acute kidney failure with tubular necrosis,6,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,N184,"Chronic kidney disease, stage 4 (severe)",6,3
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,R0600,"Dyspnea, unspecified",6,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,R0789,Other chest pain,6,3
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,R319,"Hematuria, unspecified",6,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,R339,"Retention of urine, unspecified",6,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,R45851,Suicidal ideations,6,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,R509,"Fever, unspecified",6,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,R531,Weakness,6,3
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,R570,Cardiogenic shock,6,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,W1830XA,"Fall on same level, unspecified, initial encounter",6,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,Z720,Tobacco use,6,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,28529,Anemia of other chronic disease,6,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,2930,Delirium due to conditions classified elsewhere,6,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,32723,Obstructive sleep apnea (adult)(pediatric),6,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,4241,Aortic valve disorders,6,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5601,Paralytic ileus,6,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5770,Acute pancreatitis,6,3
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5789,"Hemorrhage of gastrointestinal tract, unspecified",6,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78052,"Insomnia, unspecified",6,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78552,Septic shock,6,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7904,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH],6,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,79902,Hypoxemia,6,6
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,99591,Sepsis,6,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,99859,Other postoperative infection,6,4
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8782,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",6,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1001,Personal history of malignant neoplasm of tongue,6,2
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V4987,Physical restraints status,6,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V6284,Suicidal ideation,6,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,B965,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere,5,5
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,B9689,Other specified bacterial agents as the cause of diseases classified elsewhere,5,5
