location,resource_type,system,code,unit,occurrences
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,PKT,PKT,71195
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mmol,mmol,62471
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mEq.,mEq.,51311
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,LOZ,LOZ,20481
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,in,in,18925
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,TPN Bag,TPN Bag,17646
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,TROC,TROC,13194
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,,,12936
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/day,mg/day,10178
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,L,L,9805
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,WAF,WAF,7454
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mcg/h,mcg/h,6547
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Million Units,Million Units,6448
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg PE,mg PE,4090
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,%,%,3925
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Enema,Enema,3867
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,FILM,FILM,3528
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg\ 0 mg,mg\ 0 mg,3291
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Neb,Neb,2357
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,SUPP,SUPP,2333
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,unit,unit,1602
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mL/hr,mL/hr,1430
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,PPN Bag,PPN Bag,586
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,tab,tab,443
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/hr,mg/hr,414
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,% of current infusion rate,% of current infusion rate,402
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Dose,Dose,398
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,gtt,gtt,391
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,PAD,PAD,381
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mcg/actuation,mcg/actuation,351
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,drop,drop,291
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,meq,meq,291
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,GUM,GUM,218
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mcg/min,mcg/min,183
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,appl,appl,159
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Units Humalog,Units Humalog,150
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,PUMP,PUMP,140
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/mL,mg/mL,139
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/0mg,mg/0mg,136
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Units Regular,Units Regular,128
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,VIAL,VIAL,115
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/24h,mg/24h,114
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/2 mL,mg/2 mL,98
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,60mg,60mg,93
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,unit/gram,unit/gram,88
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,million units,million units,80
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,EA,EA,79
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,units\ 0 units,units\ 0 units,78
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,IU,IU,71
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg /40 mg,mg /40 mg,68
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,AMP,AMP,61
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,STCK,STCK,59
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/ 0 mg,mg/ 0 mg,59
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/5 mL,mg/5 mL,58
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,TC,TC,57
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Units VWF:RCo,Units VWF:RCo,57
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,gram,gram,53
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,cap,cap,52
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,PACK,PACK,42
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Units Insulin Glargine,Units Insulin Glargine,41
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,unit/mL,unit/mL,40
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,PUFFS,PUFFS,37
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,UNIT/HR,UNIT/HR,36
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,AERO,AERO,34
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,unit-mg-unit,unit-mg-unit,34
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,BAG,BAG,32
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,drops,drops,31
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/40mg,mg/40mg,31
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,tabs,tabs,30
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,INJ,INJ,28
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,MG,MG,28
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/24 hr,mg/24 hr,26
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,-120000 unit,-120000 unit,25
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mEQ,mEQ,25
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,DEV,DEV,23
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/6 mL (6 mL),mg/6 mL (6 mL),22
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,(3 mL),(3 mL),21
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,DRP,DRP,21
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,capsules,capsules,21
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,spacer,spacer,21
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,180000 unit,180000 unit,20
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mEq / 500 mL NS,mEq / 500 mL NS,20
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,units/hr,units/hr,20
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,(300 mcg),(300 mcg),19
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/0 mg,mg/0 mg,19
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,U,U,18
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,tube,tube,18
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Mg,Mg,16
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/24 hour,mg/24 hour,16
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,per L,per L,15
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,bag,bag,14
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/54mg,mg/54mg,14
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,g\ 0 g,g\ 0 g,13
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/20 mL,mg/20 mL,13
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,ounces,ounces,13
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,"(1,000 mg)","(1,000 mg)",12
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,GEL,GEL,12
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,MU,MU,12
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,PKG,PKG,12
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mcg/hr,mcg/hr,12
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mcg/mL,mcg/mL,12
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/0.3 mL,mg/0.3 mL,12
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,u,u,12
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mEq / 500 mL D5W,mEq / 500 mL D5W,11
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,tablets,tablets,11
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,(0.6 mg/mL),(0.6 mg/mL),10
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,DOSE,DOSE,10
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Drop,Drop,10
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,billion cell,billion cell,10
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,cell,cell,10
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,International Units,International Units,9
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,SCOOP,SCOOP,9
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg-mcg,mg-mcg,9
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/0.67 mL,mg/0.67 mL,9
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,(84)/10 mcg (7),(84)/10 mcg (7),8
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,DROPS,DROPS,8
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mcg/2 mL,mcg/2 mL,8
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/0mgs,mg/0mgs,8
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/3 mL,mg/3 mL,8
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,pg,pg,8
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Units/Liter,Units/Liter,7
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,cc,cc,7
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,gram/118 mL,gram/118 mL,7
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg base)/3 mL,mg base)/3 mL,7
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,GR,GR,6
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Grams,Grams,6
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,MD to order daily dose,MD to order daily dose,6
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Unit,Unit,6
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Units Insulin NPH,Units Insulin NPH,6
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mEq / 250 mL D5W,mEq / 250 mL D5W,6
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg\ 40mg,mg\ 40mg,6
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mgmg,mgmg,6
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,puff,puff,6
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,(25 mg/2.5gram),(25 mg/2.5gram),5
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,0/mg,0/mg,5
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,15000 unit,15000 unit,5
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Cap,Cap,5
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,PEN,PEN,5
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,PTCHS,PTCHS,5
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,caps,caps,5
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mcg/dose,mcg/dose,5
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,puffs,puffs,5
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,tablet,tablet,5
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,-60000 unit,-60000 unit,4
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,/hour,/hour,4
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,GTT,GTT,4
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,ML,ML,4
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,Million Cells,Million Cells,4
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,NG/,NG/,4
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,gram/30 mL,gram/30 mL,4
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mcg\ 0 mcg,mcg\ 0 mcg,4
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/5 mL (5 mL),mg/5 mL (5 mL),4
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/ml,mg/ml,4
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,vial,vial,4
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,(0.06 %),(0.06 %),3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,(1250 mg),(1250 mg),3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,/0mg,/0mg,3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,BTL,BTL,3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,JAR,JAR,3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,SOLN,SOLN,3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,gmgm,gmgm,3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,lozenge,lozenge,3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mcg/0.5,mcg/0.5,3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mcg/kg/min,mcg/kg/min,3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mcg/spray,mcg/spray,3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg-mg,mg-mg,3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/g,mg/g,3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,mg/omg,mg/omg,3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,soak,soak,3
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,(18 mg/3 mL),(18 mg/3 mL),2
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,(21)/75 mg (7),(21)/75 mg (7),2
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,(50 mg/5 gram),(50 mg/5 gram),2
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,-200 mg,-200 mg,2
MedicationAdministration.dosage.dose,MedicationAdministration,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,0.8 mg,0.8 mg,2
